scar,3.38,(1.70),4.79,(2.11),3.88,(1.71),10
scared,2.78,(1.99),6.82,(2.03),2.94,(2.19),21
scholar,7.26,(1.42),5.12,(2.46),6.59,(2.02),15
scissors,5.05,(0.96),4.47,(1.76),5.16,(1.84),1
scorching,3.76,(1.83),5.00,(2.74),4.10,(2.01),.
scorn,2.84,(2.07),5.48,(2.52),3.93,(2.64),4
scornful,3.02,(2.03),5.04,(2.56),4.59,(2.18),5
scorpion,3.69,(2.63),5.38,(3.08),3.98,(2.44),.
scream,3.88,(2.07),7.04,(1.96),4.75,(2.21),13
scum,2.43,(1.56),4.88,(2.36),4.26,(1.99),.
scurvy,3.19,(2.00),4.71,(2.72),4.48,(2.48),1
seasick,2.05,(1.20),5.80,(2.88),3.41,(2.39),.
